x,u
-8.932,59.3308
-8.93,59.3359
-8.928,59.341
-8.926,59.3459
-8.924,59.3509
-8.922,59.3557
-8.92,59.3605
-8.918,59.3652
-8.916,59.3698
-8.914,59.3743
-8.912,59.3788
-8.91,59.3832
-8.908,59.3876
-8.906,59.3918
-8.904,59.396
-8.902,59.4001
-8.9,59.4042
-8.898,59.4081
-8.896,59.4121
-8.894,59.4159
-8.892,59.4196
-8.89,59.4233
-8.888,59.427
-8.886,59.4305
-8.884,59.434
-8.882,59.4374
-8.88,59.4408
-8.878,59.444
-8.876,59.4472
-8.874,59.4504
-8.872,59.4534
-8.87,59.4564
-8.868,59.4593
-8.866,59.4622
-8.864,59.465
-8.862,59.4677
-8.86,59.4704
-8.858,59.473
-8.856,59.4755
-8.854,59.4779
-8.852,59.4803
-8.85,59.4826
-8.848,59.4849
-8.846,59.487
-8.844,59.4891
-8.842,59.4912
-8.84,59.4932
-8.838,59.4951
-8.836,59.4969
-8.834,59.4987
-8.832,59.5004
-8.83,59.5021
-8.828,59.5036
-8.826,59.5052
-8.824,59.5066
-8.822,59.508
-8.82,59.5093
-8.818,59.5106
-8.816,59.5118
-8.814,59.5129
-8.812,59.5139
-8.81,59.5149
-8.808,59.5159
-8.806,59.5167
-8.804,59.5175
-8.802,59.5183
-8.8,59.5189
-8.798,59.5196
-8.796,59.5201
-8.794,59.5206
-8.792,59.521
-8.79,59.5214
-8.788,59.5217
-8.786,59.5219
-8.784,59.5221
-8.782,59.5222
-8.78,59.5222
-8.778,59.5222
-8.776,59.5221
-8.774,59.522
-8.772,59.5218
-8.77,59.5215
-8.768,59.5212
-8.766,59.5208
-8.764,59.5203
-8.762,59.5198
-8.76,59.5192
-8.758,59.5186
-8.756,59.5179
-8.754,59.5172
-8.752,59.5163
-8.75,59.5155
-8.748,59.5145
-8.746,59.5135
-8.744,59.5125
-8.742,59.5114
-8.74,59.5102
-8.738,59.509
-8.736,59.5077
-8.734,59.5063
-8.732,59.5049
-8.73,59.5034
-8.728,59.5019
-8.726,59.5003
-8.724,59.4987
-8.722,59.4969
-8.72,59.4952
-8.718,59.4934
-8.716,59.4915
-8.714,59.4895
-8.712,59.4875
-8.71,59.4855
-8.708,59.4834
-8.706,59.4812
-8.704,59.479
-8.702,59.4767
-8.7,59.4744
-8.698,59.472
-8.696,59.4695
-8.694,59.467
-8.692,59.4644
-8.69,59.4618
-8.688,59.4591
-8.686,59.4564
-8.684,59.4536
-8.682,59.4508
-8.68,59.4478
-8.678,59.4449
-8.676,59.4419
-8.674,59.4388
-8.672,59.4357
-8.67,59.4325
-8.668,59.4293
-8.666,59.426
-8.664,59.4226
-8.662,59.4192
-8.66,59.4158
-8.658,59.4123
-8.656,59.4087
-8.654,59.4051
-8.652,59.4014
-8.65,59.3977
-8.648,59.3939
-8.646,59.3901
-8.644,59.3862
-8.642,59.3823
-8.64,59.3783
-8.638,59.3742
-8.636,59.3701
-8.634,59.366
-8.632,59.3618
-8.63,59.3575
-8.628,59.3532
-8.626,59.3489
-8.624,59.3445
-8.622,59.34
-8.62,59.3355
-8.618,59.3309
-8.616,59.3263
-8.614,59.3216
-8.612,59.3169
-8.61,59.3121
-8.608,59.3073
-8.606,59.3024
-8.604,59.2975
-8.602,59.2925
-8.6,59.2875
-8.598,59.2824
-8.596,59.2773
-8.594,59.2721
-8.592,59.2669
-8.59,59.2616
-8.588,59.2562
-8.586,59.2509
-8.584,59.2454
-8.582,59.2399
-8.58,59.2344
-8.578,59.2288
-8.576,59.2232
-8.574,59.2175
-8.572,59.2118
-8.57,59.206
-8.568,59.2002
-8.566,59.1943
-8.564,59.1884
-8.562,59.1824
-8.56,59.1764
-8.558,59.1703
-8.556,59.1642
-8.554,59.158
-8.552,59.1518
-8.55,59.1456
-8.548,59.1393
-8.546,59.1329
-8.544,59.1265
-8.542,59.12
-8.54,59.1135
-8.538,59.107
-8.536,59.1004
-8.534,59.0938
-8.532,59.0871
-8.53,59.0803
-8.528,59.0736
-8.526,59.0667
-8.524,59.0598
-8.522,59.0529
-8.52,59.046
-8.518,59.0389
-8.516,59.0319
-8.514,59.0248
-8.512,59.0176
-8.51,59.0104
-8.508,59.0032
-8.506,58.9959
-8.504,58.9886
-8.502,58.9812
-8.5,58.9738
-8.498,58.9663
-8.496,58.9588
-8.494,58.9512
-8.492,58.9436
-8.49,58.936
-8.488,58.9283
-8.486,58.9205
-8.484,58.9127
-8.482,58.9049
-8.48,58.897
-8.478,58.8891
-8.476,58.8812
-8.474,58.8732
-8.472,58.8651
-8.47,58.857
-8.468,58.8489
-8.466,58.8407
-8.464,58.8325
-8.462,58.8242
-8.46,58.8159
-8.458,58.8076
-8.456,58.7992
-8.454,58.7907
-8.452,58.7823
-8.45,58.7737
-8.448,58.7652
-8.446,58.7566
-8.444,58.7479
-8.442,58.7392
-8.44,58.7305
-8.438,58.7217
-8.436,58.7129
-8.434,58.7041
-8.432,58.6952
-8.43,58.6862
-8.428,58.6772
-8.426,58.6682
-8.424,58.6591
-8.422,58.65
-8.42,58.6409
-8.418,58.6317
-8.416,58.6225
-8.414,58.6132
-8.412,58.6039
-8.41,58.5945
-8.408,58.5851
-8.406,58.5757
-8.404,58.5662
-8.402,58.5567
-8.4,58.5472
-8.398,58.5376
-8.396,58.5279
-8.394,58.5183
-8.392,58.5085
-8.39,58.4988
-8.388,58.489
-8.386,58.4792
-8.384,58.4693
-8.382,58.4594
-8.38,58.4494
-8.378,58.4394
-8.376,58.4294
-8.374,58.4193
-8.372,58.4092
-8.37,58.3991
-8.368,58.3889
-8.366,58.3787
-8.364,58.3684
-8.362,58.3581
-8.36,58.3478
-8.358,58.3374
-8.356,58.327
-8.354,58.3165
-8.352,58.3061
-8.35,58.2955
-8.348,58.285
-8.346,58.2744
-8.344,58.2637
-8.342,58.253
-8.34,58.2423
-8.338,58.2316
-8.336,58.2208
-8.334,58.21
-8.332,58.1991
-8.33,58.1882
-8.328,58.1773
-8.326,58.1663
-8.324,58.1553
-8.322,58.1442
-8.32,58.1331
-8.318,58.122
-8.316,58.1109
-8.314,58.0997
-8.312,58.0885
-8.31,58.0772
-8.308,58.0659
-8.306,58.0546
-8.304,58.0432
-8.302,58.0318
-8.3,58.0203
-8.298,58.0089
-8.296,57.9973
-8.294,57.9858
-8.292,57.9742
-8.29,57.9626
-8.288,57.9509
-8.286,57.9392
-8.284,57.9275
-8.282,57.9158
-8.28,57.904
-8.278,57.8921
-8.276,57.8803
-8.274,57.8684
-8.272,57.8564
-8.27,57.8445
-8.268,57.8325
-8.266,57.8204
-8.264,57.8084
-8.262,57.7963
-8.26,57.7841
-8.258,57.772
-8.256,57.7598
-8.254,57.7475
-8.252,57.7353
-8.25,57.723
-8.248,57.7106
-8.246,57.6982
-8.244,57.6858
-8.242,57.6734
-8.24,57.6609
-8.238,57.6484
-8.236,57.6359
-8.234,57.6233
-8.232,57.6107
-8.23,57.5981
-8.228,57.5854
-8.226,57.5727
-8.224,57.56
-8.222,57.5472
-8.22,57.5344
-8.218,57.5216
-8.216,57.5087
-8.214,57.4958
-8.212,57.4829
-8.21,57.47
-8.208,57.457
-8.206,57.444
-8.204,57.4309
-8.202,57.4178
-8.2,57.4047
-8.198,57.3916
-8.196,57.3784
-8.194,57.3652
-8.192,57.3519
-8.19,57.3387
-8.188,57.3254
-8.186,57.312
-8.184,57.2987
-8.182,57.2853
-8.18,57.2719
-8.178,57.2584
-8.176,57.2449
-8.174,57.2314
-8.172,57.2179
-8.17,57.2043
-8.168,57.1907
-8.166,57.1771
-8.164,57.1634
-8.162,57.1497
-8.16,57.136
-8.158,57.1222
-8.156,57.1084
-8.154,57.0946
-8.152,57.0808
-8.15,57.0669
-8.148,57.053
-8.146,57.0391
-8.144,57.0251
-8.142,57.0111
-8.14,56.9971
-8.138,56.983
-8.136,56.969
-8.134,56.9548
-8.132,56.9407
-8.13,56.9265
-8.128,56.9123
-8.126,56.8981
-8.124,56.8839
-8.122,56.8696
-8.12,56.8553
-8.118,56.841
-8.116,56.8266
-8.114,56.8122
-8.112,56.7978
-8.11,56.7833
-8.108,56.7689
-8.106,56.7543
-8.104,56.7398
-8.102,56.7253
-8.1,56.7107
-8.098,56.6961
-8.096,56.6814
-8.094,56.6667
-8.092,56.652
-8.09,56.6373
-8.088,56.6226
-8.086,56.6078
-8.084,56.593
-8.082,56.5781
-8.08,56.5633
-8.078,56.5484
-8.076,56.5335
-8.074,56.5185
-8.072,56.5036
-8.07,56.4886
-8.068,56.4736
-8.066,56.4585
-8.064,56.4434
-8.062,56.4283
-8.06,56.4132
-8.058,56.3981
-8.056,56.3829
-8.054,56.3677
-8.052,56.3524
-8.05,56.3372
-8.048,56.3219
-8.046,56.3066
-8.044,56.2913
-8.042,56.2759
-8.04,56.2605
-8.038,56.2451
-8.036,56.2297
-8.034,56.2142
-8.032,56.1987
-8.03,56.1832
-8.028,56.1677
-8.026,56.1521
-8.024,56.1365
-8.022,56.1209
-8.02,56.1053
-8.018,56.0896
-8.016,56.0739
-8.014,56.0582
-8.012,56.0425
-8.01,56.0267
-8.008,56.0109
-8.006,55.9951
-8.004,55.9793
-8.002,55.9634
-8,55.9476
-7.998,55.9316
-7.996,55.9157
-7.994,55.8998
-7.992,55.8838
-7.99,55.8678
-7.988,55.8517
-7.986,55.8357
-7.984,55.8196
-7.982,55.8035
-7.98,55.7874
-7.978,55.7713
-7.976,55.7551
-7.974,55.7389
-7.972,55.7227
-7.97,55.7064
-7.968,55.6902
-7.966,55.6739
-7.964,55.6576
-7.962,55.6412
-7.96,55.6249
-7.958,55.6085
-7.956,55.5921
-7.954,55.5757
-7.952,55.5592
-7.95,55.5428
-7.948,55.5263
-7.946,55.5098
-7.944,55.4932
-7.942,55.4767
-7.94,55.4601
-7.938,55.4435
-7.936,55.4269
-7.934,55.4102
-7.932,55.3935
-7.93,55.3768
-7.928,55.3601
-7.926,55.3434
-7.924,55.3266
-7.922,55.3099
-7.92,55.2931
-7.918,55.2762
-7.916,55.2594
-7.914,55.2425
-7.912,55.2256
-7.91,55.2087
-7.908,55.1918
-7.906,55.1748
-7.904,55.1579
-7.902,55.1409
-7.9,55.1238
-7.898,55.1068
-7.896,55.0897
-7.894,55.0727
-7.892,55.0556
-7.89,55.0384
-7.888,55.0213
-7.886,55.0041
-7.884,54.9869
-7.882,54.9697
-7.88,54.9525
-7.878,54.9353
-7.876,54.918
-7.874,54.9007
-7.872,54.8834
-7.87,54.8661
-7.868,54.8487
-7.866,54.8314
-7.864,54.814
-7.862,54.7966
-7.86,54.7791
-7.858,54.7617
-7.856,54.7442
-7.854,54.7267
-7.852,54.7092
-7.85,54.6917
-7.848,54.6741
-7.846,54.6566
-7.844,54.639
-7.842,54.6214
-7.84,54.6038
-7.838,54.5861
-7.836,54.5684
-7.834,54.5508
-7.832,54.5331
-7.83,54.5153
-7.828,54.4976
-7.826,54.4798
-7.824,54.462
-7.822,54.4442
-7.82,54.4264
-7.818,54.4086
-7.816,54.3907
-7.814,54.3729
-7.812,54.355
-7.81,54.3371
-7.808,54.3191
-7.806,54.3012
-7.804,54.2832
-7.802,54.2652
-7.8,54.2472
-7.798,54.2292
-7.796,54.2111
-7.794,54.1931
-7.792,54.175
-7.79,54.1569
-7.788,54.1388
-7.786,54.1207
-7.784,54.1025
-7.782,54.0843
-7.78,54.0662
-7.778,54.048
-7.776,54.0297
-7.774,54.0115
-7.772,53.9932
-7.77,53.975
-7.768,53.9567
-7.766,53.9384
-7.764,53.92
-7.762,53.9017
-7.76,53.8833
-7.758,53.8649
-7.756,53.8465
-7.754,53.8281
-7.752,53.8097
-7.75,53.7912
-7.748,53.7728
-7.746,53.7543
-7.744,53.7358
-7.742,53.7173
-7.74,53.6987
-7.738,53.6802
-7.736,53.6616
-7.734,53.643
-7.732,53.6244
-7.73,53.6058
-7.728,53.5872
-7.726,53.5685
-7.724,53.5499
-7.722,53.5312
-7.72,53.5125
-7.718,53.4938
-7.716,53.475
-7.714,53.4563
-7.712,53.4375
-7.71,53.4187
-7.708,53.3999
-7.706,53.3811
-7.704,53.3623
-7.702,53.3435
-7.7,53.3246
-7.698,53.3057
-7.696,53.2868
-7.694,53.2679
-7.692,53.249
-7.69,53.2301
-7.688,53.2111
-7.686,53.1921
-7.684,53.1731
-7.682,53.1541
-7.68,53.1351
-7.678,53.1161
-7.676,53.097
-7.674,53.078
-7.672,53.0589
-7.67,53.0398
-7.668,53.0207
-7.666,53.0016
-7.664,52.9824
-7.662,52.9633
-7.66,52.9441
-7.658,52.9249
-7.656,52.9057
-7.654,52.8865
-7.652,52.8673
-7.65,52.848
-7.648,52.8288
-7.646,52.8095
-7.644,52.7902
-7.642,52.7709
-7.64,52.7516
-7.638,52.7323
-7.636,52.7129
-7.634,52.6936
-7.632,52.6742
-7.63,52.6548
-7.628,52.6354
-7.626,52.616
-7.624,52.5965
-7.622,52.5771
-7.62,52.5576
-7.618,52.5382
-7.616,52.5187
-7.614,52.4992
-7.612,52.4797
-7.61,52.4601
-7.608,52.4406
-7.606,52.421
-7.604,52.4015
-7.602,52.3819
-7.6,52.3623
-7.598,52.3427
-7.596,52.323
-7.594,52.3034
-7.592,52.2838
-7.59,52.2641
-7.588,52.2444
-7.586,52.2247
-7.584,52.205
-7.582,52.1853
-7.58,52.1656
-7.578,52.1458
-7.576,52.1261
-7.574,52.1063
-7.572,52.0865
-7.57,52.0667
-7.568,52.0469
-7.566,52.0271
-7.564,52.0072
-7.562,51.9874
-7.56,51.9675
-7.558,51.9477
-7.556,51.9278
-7.554,51.9079
-7.552,51.888
-7.55,51.868
-7.548,51.8481
-7.546,51.8281
-7.544,51.8082
-7.542,51.7882
-7.54,51.7682
-7.538,51.7482
-7.536,51.7282
-7.534,51.7082
-7.532,51.6881
-7.53,51.6681
-7.528,51.648
-7.526,51.628
-7.524,51.6079
-7.522,51.5878
-7.52,51.5677
-7.518,51.5476
-7.516,51.5274
-7.514,51.5073
-7.512,51.4871
-7.51,51.467
-7.508,51.4468
-7.506,51.4266
-7.504,51.4064
-7.502,51.3862
-7.5,51.3659
-7.498,51.3457
-7.496,51.3255
-7.494,51.3052
-7.492,51.2849
-7.49,51.2646
-7.488,51.2443
-7.486,51.224
-7.484,51.2037
-7.482,51.1834
-7.48,51.1631
-7.478,51.1427
-7.476,51.1223
-7.474,51.102
-7.472,51.0816
-7.47,51.0612
-7.468,51.0408
-7.466,51.0204
-7.464,50.9999
-7.462,50.9795
-7.46,50.959
-7.458,50.9386
-7.456,50.9181
-7.454,50.8976
-7.452,50.8771
-7.45,50.8566
-7.448,50.8361
-7.446,50.8156
-7.444,50.7951
-7.442,50.7745
-7.44,50.754
-7.438,50.7334
-7.436,50.7128
-7.434,50.6922
-7.432,50.6716
-7.43,50.651
-7.428,50.6304
-7.426,50.6098
-7.424,50.5892
-7.422,50.5685
-7.42,50.5478
-7.418,50.5272
-7.416,50.5065
-7.414,50.4858
-7.412,50.4651
-7.41,50.4444
-7.408,50.4237
-7.406,50.403
-7.404,50.3822
-7.402,50.3615
-7.4,50.3407
-7.398,50.32
-7.396,50.2992
-7.394,50.2784
-7.392,50.2576
-7.39,50.2368
-7.388,50.216
-7.386,50.1952
-7.384,50.1743
-7.382,50.1535
-7.38,50.1326
-7.378,50.1118
-7.376,50.0909
-7.374,50.07
-7.372,50.0491
-7.37,50.0282
-7.368,50.0073
-7.366,49.9864
-7.364,49.9655
-7.362,49.9445
-7.36,49.9236
-7.358,49.9027
-7.356,49.8817
-7.354,49.8607
-7.352,49.8397
-7.35,49.8188
-7.348,49.7978
-7.346,49.7767
-7.344,49.7557
-7.342,49.7347
-7.34,49.7137
-7.338,49.6926
-7.336,49.6716
-7.334,49.6505
-7.332,49.6295
-7.33,49.6084
-7.328,49.5873
-7.326,49.5662
-7.324,49.5451
-7.322,49.524
-7.32,49.5029
-7.318,49.4818
-7.316,49.4606
-7.314,49.4395
-7.312,49.4183
-7.31,49.3972
-7.308,49.376
-7.306,49.3548
-7.304,49.3337
-7.302,49.3125
-7.3,49.2913
-7.298,49.2701
-7.296,49.2489
-7.294,49.2276
-7.292,49.2064
-7.29,49.1852
-7.288,49.1639
-7.286,49.1427
-7.284,49.1214
-7.282,49.1001
-7.28,49.0789
-7.278,49.0576
-7.276,49.0363
-7.274,49.015
-7.272,48.9937
-7.27,48.9724
-7.268,48.951
-7.266,48.9297
-7.264,48.9084
-7.262,48.887
-7.26,48.8657
-7.258,48.8443
-7.256,48.8229
-7.254,48.8016
-7.252,48.7802
-7.25,48.7588
-7.248,48.7374
-7.246,48.716
-7.244,48.6946
-7.242,48.6732
-7.24,48.6517
-7.238,48.6303
-7.236,48.6089
-7.234,48.5874
-7.232,48.566
-7.23,48.5445
-7.228,48.523
-7.226,48.5016
-7.224,48.4801
-7.222,48.4586
-7.22,48.4371
-7.218,48.4156
-7.216,48.3941
-7.214,48.3726
-7.212,48.3511
-7.21,48.3295
-7.208,48.308
-7.206,48.2865
-7.204,48.2649
-7.202,48.2434
-7.2,48.2218
-7.198,48.2002
-7.196,48.1787
-7.194,48.1571
-7.192,48.1355
-7.19,48.1139
-7.188,48.0923
-7.186,48.0707
-7.184,48.0491
-7.182,48.0275
-7.18,48.0058
-7.178,47.9842
-7.176,47.9626
-7.174,47.9409
